d,n,m,i,avg.t,effops,pj
0.2,5,5,0,43,20,7
0.2,5,5,1,50,20,7
0.2,5,5,2,53,20,7
0.2,5,5,3,62,20,6
0.2,5,5,4,51,20,9
0.2,5,5,5,56,20,10
0.2,5,5,6,57,20,8
0.2,5,5,7,55,20,8
0.2,5,5,8,45,20,9
0.2,5,5,9,37,20,8
0.2,5,5,10,51,20,8
0.2,5,5,11,41,20,6
0.2,5,5,12,56,20,8
0.2,5,5,13,52,20,7
0.2,5,5,14,56,20,8
0.2,5,5,15,51,20,6
0.2,5,5,16,52,20,7
0.2,5,5,17,47,20,7
0.2,5,5,18,42,20,7
0.2,5,5,19,44,20,9
0.2,5,5,20,55,20,9
0.2,5,5,21,48,20,6
0.2,5,5,22,46,20,8
0.2,5,5,23,52,20,8
0.2,5,5,24,48,20,6
0.2,5,5,25,48,20,7
0.2,5,5,26,48,20,8
0.2,5,5,27,44,20,6
0.2,5,5,28,56,20,9
0.2,5,5,29,46,20,6
0.2,5,10,0,45,40,11
0.2,5,10,1,49,40,11
0.2,5,10,2,49,40,10
0.2,5,10,3,48,40,12
0.2,5,10,4,49,40,14
0.2,5,10,5,50,40,13
0.2,5,10,6,62,40,12
0.2,5,10,7,43,40,10
0.2,5,10,8,43,40,13
0.2,5,10,9,45,40,13
0.2,5,10,10,53,40,11
0.2,5,10,11,55,40,10
0.2,5,10,12,50,40,13
0.2,5,10,13,51,40,12
0.2,5,10,14,53,40,11
0.2,5,10,15,51,40,11
0.2,5,10,16,50,40,12
0.2,5,10,17,49,40,12
0.2,5,10,18,53,40,12
0.2,5,10,19,49,40,11
0.2,5,10,20,47,40,12
0.2,5,10,21,44,40,12
0.2,5,10,22,56,40,12
0.2,5,10,23,44,40,9
0.2,5,10,24,49,40,12
0.2,5,10,25,53,40,9
0.2,5,10,26,41,40,11
0.2,5,10,27,53,40,13
0.2,5,10,28,45,40,13
0.2,5,10,29,52,40,11
0.2,5,20,0,54,80,22
0.2,5,20,1,49,80,16
0.2,5,20,2,50,80,18
0.2,5,20,3,47,80,20
0.2,5,20,4,53,80,19
0.2,5,20,5,49,80,20
0.2,5,20,6,53,80,18
0.2,5,20,7,46,80,18
0.2,5,20,8,49,80,18
0.2,5,20,9,49,80,17
0.2,5,20,10,44,80,21
0.2,5,20,11,53,80,19
0.2,5,20,12,48,80,21
0.2,5,20,13,48,80,19
0.2,5,20,14,48,80,21
0.2,5,20,15,49,80,20
0.2,5,20,16,49,80,21
0.2,5,20,17,48,80,16
0.2,5,20,18,46,80,20
0.2,5,20,19,50,80,19
0.2,5,20,20,44,80,20
0.2,5,20,21,48,80,20
0.2,5,20,22,48,80,23
0.2,5,20,23,47,80,15
0.2,5,20,24,54,80,17
0.2,5,20,25,51,80,20
0.2,5,20,26,52,80,23
0.2,5,20,27,51,80,19
0.2,5,20,28,52,80,18
0.2,5,20,29,51,80,19
0.2,5,30,0,48,120,27
0.2,5,30,1,47,120,31
0.2,5,30,2,50,120,31
0.2,5,30,3,50,120,26
0.2,5,30,4,45,120,24
0.2,5,30,5,45,120,28
0.2,5,30,6,49,120,25
0.2,5,30,7,50,120,28
0.2,5,30,8,49,120,32
0.2,5,30,9,45,120,30
0.2,5,30,10,48,120,29
0.2,5,30,11,48,120,30
0.2,5,30,12,53,120,27
0.2,5,30,13,51,120,26
0.2,5,30,14,55,120,25
0.2,5,30,15,48,120,27
0.2,5,30,16,50,120,29
0.2,5,30,17,49,120,32
0.2,5,30,18,50,120,27
0.2,5,30,19,50,120,26
0.2,5,30,20,50,120,29
0.2,5,30,21,54,120,28
0.2,5,30,22,50,120,27
0.2,5,30,23,48,120,26
0.2,5,30,24,46,120,28
0.2,5,30,25,49,120,27
0.2,5,30,26,48,120,29
0.2,5,30,27,48,120,28
0.2,5,30,28,51,120,28
0.2,5,30,29,41,120,27
0.2,100,5,0,51,400,148
0.2,100,5,1,51,400,148
0.2,100,5,2,52,400,153
0.2,100,5,3,49,400,145
0.2,100,5,4,50,400,139
0.2,100,5,5,52,400,144
0.2,100,5,6,52,400,152
0.2,100,5,7,51,400,148
0.2,100,5,8,51,400,141
0.2,100,5,9,50,400,147
0.2,100,5,10,49,400,151
0.2,100,5,11,49,400,142
0.2,100,5,12,49,400,141
0.2,100,5,13,51,400,148
0.2,100,5,14,49,400,145
0.2,100,5,15,51,400,150
0.2,100,5,16,49,400,146
0.2,100,5,17,48,400,139
0.2,100,5,18,51,400,143
0.2,100,5,19,50,400,138
0.2,100,5,20,50,400,150
0.2,100,5,21,51,400,146
0.2,100,5,22,51,400,152
0.2,100,5,23,47,400,139
0.2,100,5,24,54,400,151
0.2,100,5,25,51,400,138
0.2,100,5,26,49,400,146
0.2,100,5,27,51,400,150
0.2,100,5,28,49,400,140
0.2,100,5,29,50,400,155
0.2,100,10,0,50,800,213
0.2,100,10,1,50,800,230
0.2,100,10,2,51,800,227
0.2,100,10,3,51,800,216
0.2,100,10,4,50,800,231
0.2,100,10,5,52,800,219
0.2,100,10,6,52,800,219
0.2,100,10,7,52,800,224
0.2,100,10,8,50,800,236
0.2,100,10,9,53,800,224
0.2,100,10,10,50,800,232
0.2,100,10,11,52,800,222
0.2,100,10,12,50,800,229
0.2,100,10,13,51,800,209
0.2,100,10,14,52,800,230
0.2,100,10,15,50,800,217
0.2,100,10,16,52,800,218
0.2,100,10,17,52,800,228
0.2,100,10,18,51,800,217
0.2,100,10,19,51,800,221
0.2,100,10,20,50,800,224
0.2,100,10,21,48,800,231
0.2,100,10,22,51,800,222
0.2,100,10,23,51,800,212
0.2,100,10,24,50,800,225
0.2,100,10,25,49,800,217
0.2,100,10,26,50,800,222
0.2,100,10,27,50,800,222
0.2,100,10,28,51,800,238
0.2,100,10,29,51,800,230
0.2,100,20,0,51,1600,388
0.2,100,20,1,51,1600,391
0.2,100,20,2,51,1600,396
0.2,100,20,3,51,1600,391
0.2,100,20,4,50,1600,384
0.2,100,20,5,50,1600,384
0.2,100,20,6,49,1600,366
0.2,100,20,7,51,1600,392
0.2,100,20,8,50,1600,385
0.2,100,20,9,51,1600,379
0.2,100,20,10,50,1600,390
0.2,100,20,11,50,1600,387
0.2,100,20,12,49,1600,387
0.2,100,20,13,51,1600,379
0.2,100,20,14,51,1600,385
0.2,100,20,15,50,1600,364
0.2,100,20,16,50,1600,388
0.2,100,20,17,51,1600,390
0.2,100,20,18,50,1600,375
0.2,100,20,19,50,1600,373
0.2,100,20,20,50,1600,389
0.2,100,20,21,51,1600,387
0.2,100,20,22,50,1600,391
0.2,100,20,23,50,1600,368
0.2,100,20,24,52,1600,389
0.2,100,20,25,49,1600,385
0.2,100,20,26,51,1600,393
0.2,100,20,27,50,1600,378
0.2,100,20,28,50,1600,393
0.2,100,20,29,50,1600,377
0.2,100,30,0,50,2400,554
0.2,100,30,1,50,2400,547
0.2,100,30,2,50,2400,541
0.2,100,30,3,51,2400,560
0.2,100,30,4,52,2400,527
0.2,100,30,5,51,2400,534
0.2,100,30,6,51,2400,529
0.2,100,30,7,50,2400,531
0.2,100,30,8,51,2400,532
0.2,100,30,9,49,2400,540
0.2,100,30,10,49,2400,551
0.2,100,30,11,50,2400,533
0.2,100,30,12,50,2400,560
0.2,100,30,13,51,2400,534
0.2,100,30,14,51,2400,539
0.2,100,30,15,51,2400,538
0.2,100,30,16,51,2400,543
0.2,100,30,17,51,2400,554
0.2,100,30,18,51,2400,544
0.2,100,30,19,51,2400,530
0.2,100,30,20,50,2400,552
0.2,100,30,21,50,2400,543
0.2,100,30,22,50,2400,543
0.2,100,30,23,50,2400,539
0.2,100,30,24,50,2400,535
0.2,100,30,25,50,2400,560
0.2,100,30,26,50,2400,544
0.2,100,30,27,51,2400,560
0.2,100,30,28,51,2400,532
0.2,100,30,29,50,2400,532
0.2,10,5,0,45,40,12
0.2,10,5,1,52,40,13
0.2,10,5,2,55,40,13
0.2,10,5,3,61,40,14
0.2,10,5,4,47,40,16
0.2,10,5,5,47,40,16
0.2,10,5,6,41,40,15
0.2,10,5,7,51,40,16
0.2,10,5,8,51,40,15
0.2,10,5,9,49,40,15
0.2,10,5,10,46,40,16
0.2,10,5,11,45,40,13
0.2,10,5,12,49,40,13
0.2,10,5,13,52,40,15
0.2,10,5,14,47,40,17
0.2,10,5,15,49,40,15
0.2,10,5,16,55,40,15
0.2,10,5,17,51,40,13
0.2,10,5,18,54,40,17
0.2,10,5,19,53,40,15
0.2,10,5,20,50,40,17
0.2,10,5,21,51,40,13
0.2,10,5,22,56,40,16
0.2,10,5,23,50,40,15
0.2,10,5,24,55,40,15
0.2,10,5,25,45,40,13
0.2,10,5,26,50,40,16
0.2,10,5,27,54,40,16
0.2,10,5,28,39,40,15
