d,n,m,i,saf.ft
0.2,5,5,0,1191
0.2,5,5,1,1322
0.2,5,5,2,1321
0.2,5,5,3,1533
0.2,5,5,4,1432
0.2,5,5,5,1589
0.2,5,5,6,1572
0.2,5,5,7,1503
0.2,5,5,10,1267
0.2,5,5,9,997
0.2,5,5,11,1288
0.2,5,5,12,1704
0.2,5,5,8,1259
0.2,5,5,13,1344
0.2,5,5,14,1700
0.2,5,5,15,1248
0.2,5,5,16,1618
0.2,5,5,17,1165
0.2,5,5,18,1284
0.2,5,5,19,1300
0.2,5,5,20,1447
0.2,5,5,21,1300
0.2,5,5,22,1217
0.2,5,5,23,1580
0.2,5,5,24,1289
0.2,5,5,25,1219
0.2,5,5,26,1402
0.2,5,5,27,1141
0.2,5,5,28,1592
0.2,5,5,29,1202
0.2,5,10,0,2276
0.2,5,10,2,2591
0.2,5,10,1,2595
0.2,5,10,3,2436
0.2,5,10,4,2413
0.2,5,10,5,2535
0.2,5,10,6,3105
0.2,5,10,7,2122
0.2,5,10,8,2090
0.2,5,10,9,2281
0.2,5,10,16,2536
0.2,5,10,10,2907
0.2,5,10,12,2589
0.2,5,10,11,2723
0.2,5,10,17,2678
0.2,5,10,18,2594
0.2,5,10,13,2568
0.2,5,10,14,2545
0.2,5,10,19,2305
0.2,5,10,20,2324
0.2,5,10,21,2211
0.2,5,10,15,2679
0.2,5,10,22,2732
0.2,5,10,23,1966
0.2,5,10,24,2438
0.2,5,10,26,2138
0.2,5,10,27,2845
0.2,5,10,25,2877
0.2,5,10,28,2239
0.2,5,10,29,2636
0.2,5,20,0,5140
0.2,5,20,2,4636
0.2,5,20,5,4712
0.2,5,20,10,4038
0.2,5,20,11,5070
0.2,5,20,13,4631
0.2,5,20,12,4521
0.2,5,20,14,4711
0.2,5,20,1,4747
0.2,5,20,3,4548
0.2,5,20,4,4761
0.2,5,20,6,4819
0.2,5,20,15,4804
0.2,5,20,7,4337
0.2,5,20,8,4733
0.2,5,20,9,4772
0.2,5,20,16,4620
0.2,5,20,17,4366
0.2,5,20,18,4552
0.2,5,20,19,4591
0.2,5,20,21,4653
0.2,5,20,22,4374
0.2,5,20,23,4621
0.2,5,20,20,4136
0.2,5,20,27,4951
0.2,5,20,24,4729
0.2,5,20,25,4973
0.2,5,20,26,4833
0.2,5,20,28,4885
0.2,5,20,29,4855
0.2,5,30,2,6855
0.2,5,30,4,5986
0.2,5,30,7,6793
0.2,5,30,8,6758
0.2,5,30,3,6884
0.2,5,30,9,6222
0.2,5,30,0,6565
0.2,5,30,6,6567
0.2,5,30,1,6376
0.2,5,30,10,6579
0.2,5,30,5,6059
0.2,5,30,16,6924
0.2,5,30,17,6477
0.2,5,30,11,6546
0.2,5,30,18,6824
0.2,5,30,13,7214
0.2,5,30,12,7202
0.2,5,30,14,7340
0.2,5,30,19,6866
0.2,5,30,15,6549
0.2,5,30,20,6995
0.2,5,30,21,7333
0.2,5,30,23,6431
0.2,5,30,25,6930
0.2,5,30,22,6999
0.2,5,30,24,6221
0.2,5,30,28,7025
0.2,5,30,26,6691
0.2,5,30,29,5871
0.2,5,30,27,7173
0.2,100,5,6,198234
0.2,100,5,3,192274
0.2,100,5,9,188723
0.2,100,5,10,182392
0.2,100,5,8,191219
0.2,100,5,12,181544
0.2,100,5,13,197448
0.2,100,5,15,190048
0.2,100,5,7,194280
0.2,100,5,4,191385
0.2,100,5,5,202433
0.2,100,5,1,196538
0.2,100,5,0,189815
0.2,100,5,2,195783
0.2,100,5,14,189335
0.2,100,5,11,187209
0.2,100,5,17,177895
0.2,100,5,19,191776
0.2,100,5,21,198090
0.2,100,5,16,189292
0.2,100,5,20,182920
0.2,100,5,22,200558
0.2,100,5,23,177850
0.2,100,5,18,191199
0.2,100,5,24,209909
0.2,100,5,25,187291
0.2,100,5,28,189357
0.2,100,5,27,185826
0.2,100,5,26,185706
0.2,100,5,29,190385
0.2,100,10,2,245554
0.2,100,10,3,249438
0.2,100,10,4,244447
0.2,100,10,7,259497
0.2,100,10,6,248821
0.2,100,10,8,244969
0.2,100,10,5,252532
0.2,100,10,10,248974
0.2,100,10,14,251108
0.2,100,10,0,247351
0.2,100,10,1,241225
0.2,100,10,9,247725
0.2,100,10,16,249366
0.2,100,10,18,243496
0.2,100,10,17,262279
0.2,100,10,21,232123
0.2,100,10,22,242299
0.2,100,10,12,248638
0.2,100,10,20,242932
0.2,100,10,15,246638
0.2,100,10,11,251220
0.2,100,10,23,251606
0.2,100,10,13,242872
0.2,100,10,19,256116
0.2,100,10,24,243052
0.2,100,10,28,252581
0.2,100,10,29,246982
0.2,100,10,25,233345
0.2,100,10,26,253829
0.2,100,10,27,252619
0.2,100,20,2,346989
0.2,100,20,1,343972
0.2,100,20,4,323192
0.2,100,20,7,344703
0.2,100,20,12,326032
0.2,100,20,9,333460
0.2,100,20,11,333918
0.2,100,20,0,338283
0.2,100,20,10,328696
0.2,100,20,3,341964
0.2,100,20,6,324642
0.2,100,20,5,334275
0.2,100,20,17,333124
0.2,100,20,18,337509
0.2,100,20,8,333246
0.2,100,20,16,332218
0.2,100,20,21,335062
0.2,100,20,22,323939
0.2,100,20,20,335366
0.2,100,20,19,325907
0.2,100,20,23,325183
0.2,100,20,13,337374
0.2,100,20,14,331984
0.2,100,20,15,330139
0.2,100,20,24,345618
0.2,100,20,29,347650
0.2,100,20,28,341547
0.2,100,20,25,323324
0.2,100,20,27,338376
0.2,100,30,5,422340
0.2,100,30,2,403051
0.2,100,30,4,412769
0.2,100,30,6,408624
0.2,100,20,26,337532
0.2,100,30,3,415342
0.2,100,30,1,406989
0.2,100,30,11,415949
0.2,100,30,12,404966
0.2,100,30,10,400478
0.2,100,30,13,407970
0.2,100,30,0,400803
0.2,100,30,16,412450
0.2,100,30,9,402600
0.2,100,30,15,418637
0.2,100,30,7,410009
0.2,10,5,0,3189
0.2,10,5,1,3854
0.2,10,5,2,4110
0.2,10,5,3,4601
0.2,10,5,4,3212
0.2,10,5,5,3447
0.2,10,5,6,2893
0.2,10,5,7,3814
0.2,10,5,8,3913
0.2,10,5,9,3530
0.2,10,5,10,3377
0.2,10,5,11,3343
0.2,10,5,12,3556
0.2,10,5,13,3876
0.2,10,5,14,3211
0.2,10,5,15,4078
0.2,10,5,16,4044
0.2,10,5,17,3451
0.2,10,5,18,4416
0.2,10,5,19,4180
0.2,10,5,20,3947
0.2,10,5,21,3376
0.2,10,5,22,3932
0.2,10,5,23,3237
0.2,10,5,24,3933
0.2,10,5,25,3375
0.2,10,5,26,3642
0.2,10,5,27,4227
0.2,10,5,28,2813
0.2,10,5,29,3444
0.2,10,10,0,6925
0.2,10,10,1,5897
0.2,10,10,2,6371
0.2,100,30,8,396702
0.2,10,10,3,6188
0.2,10,10,4,5937
0.2,10,10,5,6076
0.2,10,10,6,6839
0.2,10,10,7,6148
0.2,100,30,18,411491
0.2,10,10,8,7901
0.2,10,10,9,6238
0.2,10,10,10,6084
0.2,10,10,11,6989
0.2,10,10,13,6899
0.2,10,10,12,6346
0.2,10,10,15,6677
0.2,10,10,14,5607
0.2,10,10,16,6793
0.2,10,10,17,6604
0.2,10,10,18,6108
