d,n,m,i,saf.t
0.2,5,5,0,0.005
0.2,5,5,1,0.004
0.2,5,5,2,0.004
0.2,5,5,3,0.004
0.2,5,5,4,0.004
0.2,5,5,5,0.004
0.2,5,5,6,0.004
0.2,5,5,7,0.004
0.2,5,5,10,0.004
0.2,5,5,9,0.005
0.2,5,5,11,0.004
0.2,5,5,12,0.004
0.2,5,5,8,0.007
0.2,5,5,13,0.004
0.2,5,5,14,0.004
0.2,5,5,15,0.004
0.2,5,5,16,0.004
0.2,5,5,17,0.004
0.2,5,5,18,0.004
0.2,5,5,19,0.004
0.2,5,5,20,0.004
0.2,5,5,21,0.004
0.2,5,5,22,0.004
0.2,5,5,23,0.004
0.2,5,5,24,0.004
0.2,5,5,25,0.004
0.2,5,5,26,0.004
0.2,5,5,27,0.005
0.2,5,5,28,0.004
0.2,5,5,29,0.004
0.2,5,10,0,0.012
0.2,5,10,2,0.012
0.2,5,10,1,0.013
0.2,5,10,3,0.013
0.2,5,10,4,0.012
0.2,5,10,5,0.012
0.2,5,10,6,0.012
0.2,5,10,7,0.012
0.2,5,10,8,0.019
0.2,5,10,9,0.019
0.2,5,10,16,0.012
0.2,5,10,10,0.019
0.2,5,10,12,0.019
0.2,5,10,11,0.019
0.2,5,10,17,0.012
0.2,5,10,18,0.012
0.2,5,10,13,0.018
0.2,5,10,14,0.018
0.2,5,10,19,0.012
0.2,5,10,20,0.012
0.2,5,10,21,0.012
0.2,5,10,15,0.019
0.2,5,10,22,0.013
0.2,5,10,23,0.013
0.2,5,10,24,0.012
0.2,5,10,26,0.012
0.2,5,10,27,0.012
0.2,5,10,25,0.012
0.2,5,10,28,0.012
0.2,5,10,29,0.012
0.2,5,20,0,0.037
0.2,5,20,2,0.037
0.2,5,20,5,0.037
0.2,5,20,10,0.037
0.2,5,20,11,0.038
0.2,5,20,13,0.038
0.2,5,20,12,0.039
0.2,5,20,14,0.037
0.2,5,20,1,0.058
0.2,5,20,3,0.057
0.2,5,20,4,0.059
0.2,5,20,6,0.059
0.2,5,20,15,0.048
0.2,5,20,7,0.06
0.2,5,20,8,0.058
0.2,5,20,9,0.058
0.2,5,20,16,0.038
0.2,5,20,17,0.038
0.2,5,20,18,0.037
0.2,5,20,19,0.037
0.2,5,20,21,0.037
0.2,5,20,22,0.039
0.2,5,20,23,0.041
0.2,5,20,20,0.045
0.2,5,20,27,0.037
0.2,5,20,24,0.057
0.2,5,20,25,0.06
0.2,5,20,26,0.058
0.2,5,20,28,0.058
0.2,5,20,29,0.057
0.2,5,30,2,0.073
0.2,5,30,4,0.072
