d,n,m,i,time
0.2,5,5,2,0.012376723
0.2,5,5,5,0.012606022
0.2,5,5,4,0.013602323
0.2,5,5,7,0.012963439
0.2,5,5,3,0.01462211
0.2,5,5,6,0.01535293
0.2,5,5,0,0.017279219
0.2,5,5,1,0.019403549
0.2,5,5,10,0.00954019
0.2,5,5,8,0.012449721
0.2,5,5,9,0.012717695
0.2,5,5,11,0.01173801
0.2,5,5,13,0.010517019
0.2,5,5,12,0.012303132
0.2,5,5,14,0.010838181
0.2,5,5,15,0.009610693
0.2,5,5,16,0.011898408
0.2,5,5,17,0.011567304
0.2,5,5,18,0.011357982
0.2,5,5,20,0.011128256
0.2,5,5,19,0.013110596
0.2,5,5,22,0.010556117
0.2,5,5,23,0.01409495
0.2,5,5,21,0.016817412
0.2,5,5,26,0.010432921
0.2,5,5,27,0.009480119
0.2,5,5,25,0.012850125
0.2,5,5,28,0.009453982
0.2,5,5,24,0.014539302
0.2,5,5,29,0.009730598
0.2,5,10,0,0.011929466
0.2,5,10,1,0.013104716
0.2,5,10,2,0.012267808
0.2,5,10,5,0.012090126
0.2,5,10,7,0.013019845
0.2,5,10,3,0.018453133
0.2,5,10,6,0.017516414
0.2,5,10,4,0.022417258
0.2,5,10,9,0.014152494
0.2,5,10,8,0.017554106
0.2,5,10,11,0.012931062
0.2,5,10,10,0.020852124
0.2,5,10,12,0.015754069
0.2,5,10,13,0.015613556
0.2,5,10,15,0.012484235
0.2,5,10,14,0.018878128
0.2,5,10,17,0.016862261
0.2,5,10,18,0.014306159
0.2,5,10,16,0.020275397
0.2,5,10,19,0.011831586
0.2,5,10,20,0.013102061
0.2,5,10,21,0.015466377
0.2,5,10,22,0.016399876
0.2,5,10,23,0.015458134
0.2,5,10,24,0.011839154
0.2,5,10,27,0.013114323
0.2,5,10,25,0.016993155
0.2,5,10,28,0.014916302
0.2,5,10,26,0.017330495
0.2,5,10,29,0.01832267
0.2,5,20,0,0.023831811
0.2,5,20,3,0.018916025
0.2,5,20,1,0.024536511
0.2,5,20,2,0.023031671
0.2,5,20,6,0.017173458
0.2,5,20,5,0.019261777
0.2,5,20,4,0.021411935
0.2,5,20,7,0.022716182
0.2,5,20,10,0.017823105
0.2,5,20,11,0.018584164
0.2,5,20,8,0.023822664
0.2,5,20,12,0.020464222
0.2,5,20,13,0.02097067
0.2,5,20,9,0.026353353
0.2,5,20,14,0.024305229
0.2,5,20,15,0.020835122
0.2,5,20,16,0.017649705
0.2,5,20,17,0.018235575
0.2,5,20,19,0.022041659
0.2,5,20,18,0.024873903
0.2,5,20,21,0.021632008
0.2,5,20,20,0.023861434
0.2,5,20,22,0.025424285
0.2,5,20,24,0.017805446
0.2,5,20,23,0.021916043
0.2,5,20,27,0.021100306
0.2,5,20,26,0.024708375
0.2,5,20,25,0.031430317
0.2,5,20,28,0.024004999
0.2,5,30,1,0.02405117
0.2,5,20,29,0.031899459
0.2,5,30,0,0.026659616
0.2,5,30,2,0.035677132
0.2,5,30,3,0.024972193
0.2,5,30,5,0.022851655
0.2,5,30,6,0.029877884
0.2,5,30,4,0.037296979
0.2,5,30,9,0.027764776
0.2,5,30,7,0.029896219
0.2,5,30,8,0.033326746
0.2,5,30,10,0.021828033
0.2,5,30,12,0.033307998
0.2,5,30,11,0.040043483
0.2,5,30,14,0.027499065
0.2,5,30,15,0.02769034
0.2,5,30,13,0.036602467
0.2,5,30,17,0.028322101
