d,m,n,i,mip.ft
0.2,5,5,2,1321
0.2,5,5,3,1533
0.2,5,5,0,1191
0.2,5,5,4,1432
0.2,5,5,6,1539
0.2,5,5,1,1322
0.2,5,5,5,1527
0.2,5,5,7,1503
0.2,5,5,10,1267
0.2,5,5,9,997
0.2,5,5,13,1344
0.2,5,5,8,1259
0.2,5,5,15,1248
0.2,5,5,11,1288
0.2,5,5,14,1678
0.2,5,5,12,1620
0.2,5,5,17,1165
0.2,5,5,16,1366
0.2,5,5,20,1376
0.2,5,5,18,1217
0.2,5,5,22,1217
0.2,5,5,21,1298
0.2,5,5,23,1552
0.2,5,5,19,1283
0.2,5,5,24,1272
0.2,5,5,25,1219
0.2,5,5,27,1141
0.2,5,5,26,1393
0.2,5,5,29,1148
0.2,5,5,28,1592
0.2,10,5,5,2496
0.2,10,5,1,2481
0.2,10,5,3,2376
0.2,10,5,0,2276
0.2,10,5,7,2037
0.2,10,5,4,2410
0.2,10,5,6,3105
0.2,10,5,8,2087
0.2,10,5,11,2564
0.2,10,5,13,2568
0.2,10,5,2,2515
0.2,10,5,9,2257
0.2,10,5,12,2542
0.2,10,5,14,2545
0.2,10,5,19,2305
0.2,10,5,18,2594
0.2,10,5,16,2460
0.2,10,5,21,2099
0.2,10,5,17,2678
0.2,10,5,20,2285
0.2,10,5,23,1966
0.2,10,5,22,2732
0.2,10,5,10,2756
0.2,10,5,24,2409
0.2,10,5,15,2633
0.2,10,5,28,2169
0.2,10,5,25,2632
0.2,10,5,27,2733
0.2,10,5,26,2119
0.2,10,5,29,2578
0.2,20,5,2,4543
0.2,20,5,4,4761
0.2,20,5,6,4819
0.2,20,5,1,4419
0.2,20,5,0,4903
0.2,20,5,7,4187
0.2,20,5,8,4503
0.2,20,5,10,3980
0.2,20,5,3,4477
0.2,20,5,9,4562
0.2,20,5,17,4200
0.2,20,5,11,4895
0.2,20,5,16,4532
0.2,20,5,15,4651
0.2,20,5,19,4567
0.2,20,5,20,4041
0.2,20,5,13,4555
0.2,20,5,14,4491
0.2,20,5,12,4494
0.2,20,5,24,4631
0.2,20,5,22,4342
0.2,20,5,26,4697
0.2,20,5,28,4675
0.2,20,5,27,4793
0.2,20,5,25,4715
0.2,20,5,18,4314
0.2,20,5,23,4327
0.2,20,5,21,4539
0.2,30,5,4,5770
0.2,30,5,1,6242
0.2,20,5,29,4715
0.2,30,5,0,6346
0.2,30,5,7,6611
0.2,30,5,6,6533
0.2,30,5,9,6137
0.2,30,5,10,6497
0.2,30,5,5,6035
0.2,30,5,3,6713
0.2,30,5,12,7021
0.2,30,5,11,6482
0.2,30,5,13,6728
0.2,30,5,14,7178
0.2,30,5,15,6539
0.2,30,5,17,6477
0.2,30,5,16,6705
0.2,30,5,2,6700
0.2,30,5,23,6431
0.2,30,5,21,7174
0.2,30,5,22,6688
0.2,30,5,24,6027
0.2,30,5,26,6543
0.2,30,5,18,6733
0.2,20,5,5,4704
0.2,30,5,29,5467
0.2,30,5,19,6810
0.2,30,5,8,6666
0.2,30,5,27,6457
0.2,30,5,25,6774
0.2,30,5,20,6979
0.2,30,5,28,6880
0.2,5,10,4,3145
0.2,5,10,1,3633
0.2,5,10,9,3480
0.2,5,10,2,4110
0.2,5,10,0,3143
0.2,5,10,12,3357
0.2,5,10,3,4519
0.2,5,10,7,3729
0.2,5,10,5,3368
0.2,5,10,6,2759
0.2,5,10,14,3108
0.2,5,10,17,3292
0.2,5,10,8,3904
0.2,5,10,10,3249
0.2,5,10,18,4362
0.2,5,10,16,3833
0.2,5,10,21,3265
0.2,5,10,11,3275
0.2,5,10,23,3216
0.2,5,10,15,3603
0.2,5,10,13,3628
0.2,5,10,19,4065
0.2,5,10,20,3675
0.2,5,10,22,3826
0.2,5,10,24,3889
0.2,5,10,25,3311
0.2,5,10,26,3527
0.2,5,10,27,3969
0.2,5,10,28,2784
0.2,5,10,29,3281
0.2,10,10,0,6597
0.2,10,10,1,5621
0.2,10,10,2,6287
0.2,10,10,3,5789
0.2,10,10,4,5653
0.2,10,10,5,5860
0.2,10,10,6,6211
0.2,10,10,7,6023
0.2,10,10,8,7262
