d,n,m,i,igapo.ft,igapo.nps.ft
0.2,5,5,2,1321,1321
0.2,5,5,5,1596,1596
0.2,5,5,4,1462,1462
0.2,5,5,7,1512,1512
0.2,5,5,3,1533,1533
0.2,5,5,6,1572,1572
0.2,5,5,0,1194,1194
0.2,5,5,1,1322,1322
0.2,5,5,10,1267,1267
0.2,5,5,8,1369,1369
0.2,5,5,9,997,997
0.2,5,5,11,1288,1288
0.2,5,5,13,1344,1344
0.2,5,5,12,1640,1640
0.2,5,5,14,1688,1688
0.2,5,5,15,1248,1248
0.2,5,5,16,1377,1377
0.2,5,5,17,1165,1165
0.2,5,5,18,1218,1218
0.2,5,5,20,1447,1447
0.2,5,5,19,1300,1300
0.2,5,5,22,1279,1217
0.2,5,5,23,1584,1584
0.2,5,5,21,1298,1298
0.2,5,5,26,1402,1402
0.2,5,5,27,1141,1141
0.2,5,5,25,1295,1295
0.2,5,5,28,1592,1592
0.2,5,5,24,1289,1289
0.2,5,5,29,1202,1202
0.2,5,10,0,2276,2276
0.2,5,10,1,2561,2561
0.2,5,10,2,2591,2591
0.2,5,10,5,2535,2535
0.2,5,10,7,2122,2122
0.2,5,10,3,2436,2436
0.2,5,10,6,3105,3105
0.2,5,10,4,2423,2423
0.2,5,10,9,2272,2272
0.2,5,10,8,2190,2190
0.2,5,10,11,2723,2723
0.2,5,10,10,2884,2884
0.2,5,10,12,2589,2589
0.2,5,10,13,2568,2568
0.2,5,10,15,2672,2672
0.2,5,10,14,2587,2545
0.2,5,10,17,2678,2678
0.2,5,10,18,2602,2602
0.2,5,10,16,2606,2606
0.2,5,10,19,2305,2305
0.2,5,10,20,2345,2345
0.2,5,10,21,2211,2211
0.2,5,10,22,2732,2732
0.2,5,10,23,1966,1966
0.2,5,10,24,2409,2409
0.2,5,10,27,2753,2753
0.2,5,10,25,2843,2843
0.2,5,10,28,2202,2169
0.2,5,10,26,2122,2122
0.2,5,10,29,2699,2699
0.2,5,20,0,5163,5163
0.2,5,20,3,4571,4571
0.2,5,20,1,4804,4782
