r,n,m,i,bs,jri
0.2,5,5,0,0.2,0.025
0.2,5,5,1,0.2,0
0.2,5,5,2,0.2,0
0.2,5,5,3,0.2,0
0.2,5,5,4,0,0
0.2,5,5,5,0.2,0
0.2,5,5,6,0.2,0
0.2,5,5,7,0.2,0.025
0.2,5,5,8,0.2,0
0.2,5,5,9,0.2,0
0.2,5,5,10,0.2,0.05
0.2,5,5,11,0,0
0.2,5,5,12,0.2,0
0.2,5,5,13,0.2,0
0.2,5,5,14,0.2,0
0.2,5,5,15,0,0
0.2,5,5,16,0.2,0.075
0.2,5,5,17,0.2,0
0.2,5,5,18,0.2,0.025
0.2,5,5,19,0.2,0
0.2,5,5,20,0.2,0
0.2,5,5,21,0.2,0
0.2,5,5,22,0.2,0
0.2,5,5,23,0.2,0
0.2,5,5,24,0.2,0
0.2,5,5,25,0,0
0.2,5,5,26,0.2,0
0.2,5,5,27,0.2,0
0.2,5,5,28,0,0
0.2,5,5,29,0.2,0
0.2,5,10,0,0.2,0
0.2,5,10,1,0.2,0
0.2,5,10,2,0.2,0
0.2,5,10,3,0.2,0
0.2,5,10,4,0.2,0
0.2,5,10,5,0,0.011111111111111112
0.2,5,10,6,0.4,0
0.2,5,10,7,0.2,0.011111111111111112
0.2,5,10,8,0.4,0.011111111111111112
0.2,5,10,9,0.2,0.011111111111111112
0.2,5,10,10,0.2,0.011111111111111112
0.2,5,10,11,0,0
0.2,5,10,12,0.2,0
0.2,5,10,13,0.2,0
0.2,5,10,14,0.2,0.03333333333333333
0.2,5,10,15,0.2,0.011111111111111112
0.2,5,10,16,0,0.03333333333333333
0.2,5,10,17,0.2,0
0.2,5,10,18,0.2,0.011111111111111112
0.2,5,10,19,0,0
0.2,5,10,20,0.2,0.022222222222222223
0.2,5,10,21,0.2,0.03333333333333333
0.2,5,10,22,0.2,0
0.2,5,10,23,0.2,0.011111111111111112
0.2,5,10,24,0,0
0.2,5,10,25,0.2,0
0.2,5,10,26,0.2,0
0.2,5,10,27,0.2,0.011111111111111112
0.2,5,10,28,0.4,0.011111111111111112
0.2,5,10,29,0.4,0
0.2,5,20,0,0.4,0.005263157894736842
0.2,5,20,1,0.2,0.02631578947368421
